title,description,director,year,actors,categories
Savages,"title: Savages ,Description: Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.",Oliver Stone,2012,"['aaron taylor-johnson', ' taylor kitsch', ' blake lively', 'benicio del toro']","['crime', 'drama', 'thriller']"
(500) Days of Summer,"title: (500) Days of Summer ,Description: An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",Marc Webb,2009,"['zooey deschanel', ' joseph gordon-levitt', ' geoffrey arend', ' chloë grace moretz']","['comedy', 'drama', 'romance']"
Movie 43,"title: Movie 43 ,Description: A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.",Elizabeth Banks,2013,"['emma stone', ' stephen merchant', ' richard gere', ' liev schreiber']","['comedy', 'romance']"
Gravity,"title: Gravity ,Description: Two astronauts work together to survive after an accident which leaves them alone in space.",Alfonso Cuarón,2013,"['sandra bullock', ' george clooney', ' ed harris', ' orto ignatiussen']","['drama', 'sci-fi', 'thriller']"
The Boy in the Striped Pyjamas,"title: The Boy in the Striped Pyjamas ,Description: Set during WWII, a story seen through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, whose forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman,2008,"['asa butterfield', ' david thewlis', ' rupert friend', ' zac mattoon obrien']","['drama', 'war']"
Shooter,"title: Shooter ,Description: A marksman living in exile is coaxed back into action after learning of a plot to kill the President. Ultimately double-crossed and framed for the attempt, he goes on the run to find the real killer and the reason he was set up.",Antoine Fuqua,2007,"['mark wahlberg', ' michael peña', ' rhona mitra', ' danny glover']","['action', 'crime', 'drama']"
The Happening,"title: The Happening ,Description: A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",M. Night Shyamalan,2008,"['mark wahlberg', ' zooey deschanel', ' john leguizamo', ' ashlyn sanchez']","['sci-fi', 'thriller']"
Bone Tomahawk,"title: Bone Tomahawk ,Description: Four men set out in the Wild West to rescue a group of captives from cannibalistic cave dwellers.",S. Craig Zahler,2015,"['kurt russell', ' patrick wilson', ' matthew fox', ' richard jenkins']","['adventure', 'drama', 'horror']"
Magic Mike XXL,"title: Magic Mike XXL ,Description: Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",Gregory Jacobs,2015,"['channing tatum', ' joe manganiello', ' matt bomer', 'adam rodriguez']","['comedy', 'drama', 'music']"
Easy A,"title: Easy A ,Description: A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.",Will Gluck,2010,"['emma stone', ' amanda bynes', ' penn badgley', ' dan byrd']","['comedy', 'drama', 'romance']"
Exodus: Gods and Kings,"title: Exodus: Gods and Kings ,Description: The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",Ridley Scott,2014,"['christian bale', ' joel edgerton', ' ben kingsley', ' sigourney weaver']","['action', 'adventure', 'drama']"
Chappie,"title: Chappie ,Description: In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",Neill Blomkamp,2015,"['sharlto copley', ' dev patel', ' hugh jackman', 'sigourney weaver']","['action', 'crime', 'drama']"
The Hobbit: The Desolation of Smaug,"title: The Hobbit: The Desolation of Smaug ,Description: The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Peter Jackson,2013,"['ian mckellen', ' martin freeman', ' richard armitage', 'ken stott']","['adventure', 'fantasy']"
Half of a Yellow Sun,"title: Half of a Yellow Sun ,Description: Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",Biyi Bandele,2013,"['chiwetel ejiofor', ' thandie newton', ' anika noni rose', 'joseph mawle']","['drama', 'romance']"
Anthropoid,"title: Anthropoid ,Description: Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.",Sean Ellis,2016,"['jamie dornan', ' cillian murphy', ' brian caspe', ' karel hermánek jr.']","['biography', 'history', 'thriller']"
The Counselor,"title: The Counselor ,Description: A lawyer finds himself in over his head when he gets involved in drug trafficking.",Ridley Scott,2013,"['michael fassbender', ' penélope cruz', ' cameron diaz', 'javier bardem']","['crime', 'drama', 'thriller']"
Viking,"title: Viking ,Description: Kievan Rus, late 10th century. After the death of his father, the young Viking prince Vladimir of Novgorod is forced into exile across the frozen sea.",Andrey Kravchuk,2016,"['anton adasinsky', ' aleksandr armer', ' vilen babichev', ' rostislav bershauer']","['action', 'drama', 'history']"
Whiskey Tango Foxtrot,"title: Whiskey Tango Foxtrot ,Description: A journalist recounts her wartime coverage in Afghanistan.",Glenn Ficarra,2016,"['tina fey', ' margot robbie', ' martin freeman', ' alfred molina']","['biography', 'comedy', 'drama']"
Trust,"title: Trust ,Description: A teenage girl is targeted by an online sexual predator.",David Schwimmer,2010,"['clive owen', ' catherine keener', ' liana liberato', 'jason clarke']","['crime', 'drama', 'thriller']"
Birth of the Dragon,"title: Birth of the Dragon ,Description: Young, up-and-coming martial artist, Bruce Lee, challenges legendary kung fu master Wong Jack Man to a no-holds-barred fight in Northern California.",George Nolfi,2016,"['billy magnussen', ' terry chen', ' teresa navarro', 'vanessa ross']","['action', 'biography', 'drama']"
Elysium,"title: Elysium ,Description: In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",Neill Blomkamp,2013,"['matt damon', ' jodie foster', ' sharlto copley', ' alice braga']","['action', 'drama', 'sci-fi']"
The Green Inferno,"title: The Green Inferno ,Description: A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",Eli Roth,2013,"['lorenza izzo', ' ariel levy', ' aaron burns', ' kirby bliss blanton']","['adventure', 'horror']"
Godzilla,"title: Godzilla ,Description: The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Gareth Edwards,2014,"['aaron taylor-johnson', ' elizabeth olsen', ' bryan cranston', ' ken watanabe']","['action', 'adventure', 'sci-fi']"
The Bourne Legacy,"title: The Bourne Legacy ,Description: An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",Tony Gilroy,2012,"['jeremy renner', ' rachel weisz', ' edward norton', ' scott glenn']","['action', 'adventure', 'mystery']"
A Good Year,"title: A Good Year ,Description: A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",Ridley Scott,2006,"['russell crowe', ' abbie cornish', ' albert finney', ' marion cotillard']","['comedy', 'drama', 'romance']"
Friend Request,"title: Friend Request ,Description: When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",Simon Verhoeven,2016,"['alycia debnam-carey', ' william moseley', ' connor paolo', ' brit morgan']","['horror', 'thriller']"
Deja Vu,"title: Deja Vu ,Description: After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",Tony Scott,2006,"['denzel washington', ' paula patton', ' jim caviezel', ' val kilmer']","['action', 'sci-fi', 'thriller']"
Lucy,"title: Lucy ,Description: A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",Luc Besson,2014,"['scarlett johansson', ' morgan freeman', ' min-sik choi', 'amr waked']","['action', 'sci-fi', 'thriller']"
A Quiet Passion,"title: A Quiet Passion ,Description: The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",Terence Davies,2016,"['cynthia nixon', ' jennifer ehle', ' duncan duff', ' keith carradine']","['biography', 'drama']"
Need for Speed,"title: Need for Speed ,Description: Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",Scott Waugh,2014,"['aaron paul', ' dominic cooper', ' imogen poots', ' scott mescudi']","['action', 'crime', 'drama']"
Jack Reacher,"title: Jack Reacher ,Description: A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.",Christopher McQuarrie,2012,"['tom cruise', ' rosamund pike', ' richard jenkins', ' werner herzog']","['action', 'crime', 'mystery']"
The Do-Over,"title: The Do-Over ,Description: Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",Steven Brill,2016,"['adam sandler', ' david spade', ' paula patton', ' kathryn hahn']","['action', 'adventure', 'comedy']"
True Crimes,"title: True Crimes ,Description: A murder investigation of a slain business man turns to clues found in an author's book about an eerily similar crime. Based on the 2008 article ""True Crimes - A postmodern murder mystery"" by David Grann.",Alexandros Avranas,2016,"['jim carrey', ' charlotte gainsbourg', ' marton csokas', ' kati outinen']","['crime', 'drama', 'thriller']"
American Pastoral,"title: American Pastoral ,Description: An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.",Ewan McGregor,2016,"['ewan mcgregor', ' jennifer connelly', ' dakota fanning', ' peter riegert']","['crime', 'drama']"
The Ghost Writer,"title: The Ghost Writer ,Description: A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.",Roman Polanski,2010,"['ewan mcgregor', ' pierce brosnan', ' olivia williams', 'jon bernthal']","['mystery', 'thriller']"
Limitless,"title: Limitless ,Description: With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",Neil Burger,2011,"['bradley cooper', ' anna friel', ' abbie cornish', ' robert de niro']","['mystery', 'sci-fi', 'thriller']"
Spectral,"title: Spectral ,Description: A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.",Nic Mathieu,2016,"['james badge dale', ' emily mortimer', ' bruce greenwood', 'max martini']","['action', 'mystery', 'sci-fi']"
P.S. I Love You,"title: P.S. I Love You ,Description: A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.",Richard LaGravenese,2007,"['hilary swank', ' gerard butler', ' harry connick jr.', ' lisa kudrow']","['drama', 'romance']"
Zipper,"title: Zipper ,Description: A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.",Mora Stephens,2015,"['patrick wilson', ' lena headey', ' ray winstone', 'richard dreyfuss']","['drama', 'thriller']"
Midnight Special,"title: Midnight Special ,Description: A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",Jeff Nichols,2016,"['michael shannon', ' joel edgerton', ' kirsten dunst', ' adam driver']","['drama', 'mystery', 'sci-fi']"
Don't Think Twice,"title: Don't Think Twice ,Description: When a member of a popular New York City improv troupe gets a huge break, the rest of the group - all best friends - start to realize that not everyone is going to make it after all.",Mike Birbiglia,2016,"['keegan-michael key', ' gillian jacobs', ' mike birbiglia', 'chris gethard']","['comedy', 'drama']"
Alice in Wonderland,"title: Alice in Wonderland ,Description: Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Tim Burton,2010,"['mia wasikowska', ' johnny depp', ' helena bonham carter', 'anne hathaway']","['adventure', 'family', 'fantasy']"
Chuck,"title: Chuck ,Description: A drama inspired by the life of heavyweight boxer Chuck Wepner.",Philippe Falardeau,2016,"['elisabeth moss', ' naomi watts', ' ron perlman', ' liev schreiber']","['biography', 'drama', 'sport']"
"I, Daniel Blake","title: I, Daniel Blake ,Description: After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Ken Loach,2016,"['dave johns', ' hayley squires', ' sharon percy', ' briana shann']",['drama']
The Break-Up,"title: The Break-Up ,Description: In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.",Peyton Reed,2006,"['jennifer aniston', ' vince vaughn', ' jon favreau', ' joey lauren adams']","['comedy', 'drama', 'romance']"
Loving,"title: Loving ,Description: The story of Richard and Mildred Loving, a couple whose arrest for interracial marriage in 1960s Virginia began a legal battle that would end with the Supreme Court's historic 1967 decision.",Jeff Nichols,2016,"['ruth negga', ' joel edgerton', ' will dalton', ' dean mumford']","['biography', 'drama', 'romance']"
Fantastic Four,"title: Fantastic Four ,Description: Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.",Josh Trank,2015,"['miles teller', ' kate mara', ' michael b. jordan', ' jamie bell']","['action', 'adventure', 'sci-fi']"
The Survivalist,"title: The Survivalist ,Description: In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened.",Stephen Fingleton,2015,"['mia goth', ' martin mccann', ' barry ward', ' andrew simpson']","['drama', 'sci-fi', 'thriller']"
Colonia,"title: Colonia ,Description: A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.",Florian Gallenberger,2015,"['emma watson', ' daniel brühl', ' michael nyqvist', 'richenda carey']","['drama', 'romance', 'thriller']"
The Boy Next Door,"title: The Boy Next Door ,Description: A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",Rob Cohen,2015,"['jennifer lopez', ' ryan guzman', ' kristin chenoweth', ' john corbett']","['mystery', 'thriller']"
The Gift,"title: The Gift ,Description: A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.",Joel Edgerton,2015,"['jason bateman', ' rebecca hall', ' joel edgerton', ' allison tolman']","['mystery', 'thriller']"
Dracula Untold,"title: Dracula Untold ,Description: As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",Gary Shore,2014,"['luke evans', ' dominic cooper', ' sarah gadon', ' art parkinson']","['action', 'drama', 'fantasy']"
In the Heart of the Sea,"title: In the Heart of the Sea ,Description: A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",Ron Howard,2015,"['chris hemsworth', ' cillian murphy', ' brendan gleeson', 'ben whishaw']","['action', 'adventure', 'biography']"
Idiocracy,"title: Idiocracy ,Description: Private Joe Bauers, the definition of ""average American"", is selected by the Pentagon to be the guinea pig for a top-secret hibernation program. Forgotten, he awakes five centuries in the future. He discovers a society so incredibly dumbed down that he's easily the most intelligent person alive.",Mike Judge,2006,"['luke wilson', ' maya rudolph', ' dax shepard', ' terry crews']","['adventure', 'comedy', 'sci-fi']"
The Expendables,"title: The Expendables ,Description: A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.",Sylvester Stallone,2010,"['sylvester stallone', ' jason statham', ' jet li', ' dolph lundgren']","['action', 'adventure', 'thriller']"
Evil Dead,"title: Evil Dead ,Description: Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Fede Alvarez,2013,"['jane levy', ' shiloh fernandez', ' jessica lucas', ' lou taylor pucci']","['fantasy', 'horror']"
Sinister,"title: Sinister ,Description: Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.",Scott Derrickson,2012,"['ethan hawke', ' juliet rylance', ' james ransone', 'fred dalton thompson']","['horror', 'mystery']"
Wreck-It Ralph,"title: Wreck-It Ralph ,Description: A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Rich Moore,2012,"['john c. reilly', ' jack mcbrayer', ' jane lynch', ' sarah silverman']","['animation', 'adventure', 'comedy']"
Snow White and the Huntsman,"title: Snow White and the Huntsman ,Description: In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",Rupert Sanders,2012,"['kristen stewart', ' chris hemsworth', ' charlize theron', ' sam claflin']","['action', 'adventure', 'drama']"
Pan,"title: Pan ,Description: 12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.",Joe Wright,2015,"['levi miller', ' hugh jackman', ' garrett hedlund', ' rooney mara']","['adventure', 'family', 'fantasy']"
Transformers: Dark of the Moon,"title: Transformers: Dark of the Moon ,Description: The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Michael Bay,2011,"['shia labeouf', ' rosie huntington-whiteley', ' tyrese gibson', ' josh duhamel']","['action', 'adventure', 'sci-fi']"
Juno,"title: Juno ,Description: Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",Jason Reitman,2007,"['ellen page', ' michael cera', ' jennifer garner', ' jason bateman']","['comedy', 'drama']"
A Hologram for the King,"title: A Hologram for the King ,Description: A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.",Tom Tykwer,2016,"['tom hanks', ' sarita choudhury', ' ben whishaw', 'alexander black']","['comedy', 'drama']"
Money Monster,"title: Money Monster ,Description: Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.",Jodie Foster,2016,"['george clooney', ' julia roberts', ' jack oconnell', 'dominic west']","['crime', 'drama', 'thriller']"
The Other Woman,"title: The Other Woman ,Description: After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",Nick Cassavetes,2014,"['cameron diaz', ' leslie mann', ' kate upton', ' nikolaj coster-waldau']","['comedy', 'romance']"
Enchanted,"title: Enchanted ,Description: A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.",Kevin Lima,2007,"['amy adams', ' susan sarandon', ' james marsden', ' patrick dempsey']","['animation', 'comedy', 'family']"
The Intern,"title: The Intern ,Description: 70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Nancy Meyers,2015,"['robert de niro', ' anne hathaway', ' rene russo', 'anders holm']","['comedy', 'drama']"
Little Miss Sunshine,"title: Little Miss Sunshine ,Description: A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.",Jonathan Dayton,2006,"['steve carell', ' toni collette', ' greg kinnear', ' abigail breslin']","['comedy', 'drama']"
Bleed for This,"title: Bleed for This ,Description: The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sport's most incredible comebacks.",Ben Younger,2016,"['miles teller', ' aaron eckhart', ' katey sagal', ' ciarán hinds']","['biography', 'drama', 'sport']"
Clash of the Titans,"title: Clash of the Titans ,Description: Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",Louis Leterrier,2010,"['sam worthington', ' liam neeson', ' ralph fiennes', 'jason flemyng']","['action', 'adventure', 'fantasy']"
The Finest Hours,"title: The Finest Hours ,Description: The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.",Craig Gillespie,2016,"['chris pine', ' casey affleck', ' ben foster', ' eric bana']","['action', 'drama', 'history']"
Tron,"title: Tron ,Description: The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.",Joseph Kosinski,2010,"['jeff bridges', ' garrett hedlund', ' olivia wilde', ' bruce boxleitner']","['action', 'adventure', 'sci-fi']"
The Hunger Games: Catching Fire,"title: The Hunger Games: Catching Fire ,Description: Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.",Francis Lawrence,2013,"['jennifer lawrence', ' josh hutcherson', ' liam hemsworth', ' philip seymour hoffman']","['action', 'adventure', 'mystery']"
All Good Things,"title: All Good Things ,Description: Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",Andrew Jarecki,2010,"['ryan gosling', ' kirsten dunst', ' frank langella', ' lily rabe']","['crime', 'drama', 'mystery']"
Kickboxer: Vengeance,"title: Kickboxer: Vengeance ,Description: A kick boxer is out to avenge his brother.",John Stockwell,2016,"['dave bautista', ' alain moussi', ' gina carano', ' jean-claude van damme']",['action']
The Last Airbender,"title: The Last Airbender ,Description: Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",M. Night Shyamalan,2010,"['noah ringer', ' nicola peltz', ' jackson rathbone', 'dev patel']","['action', 'adventure', 'family']"
Sex Tape,"title: Sex Tape ,Description: A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",Jake Kasdan,2014,"['jason segel', ' cameron diaz', ' rob corddry', ' ellie kemper']","['comedy', 'romance']"
What to Expect When You're Expecting,"title: What to Expect When You're Expecting ,Description: Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby, and realize that no matter what you plan for, life does not always deliver what is expected.",Kirk Jones,2012,"['cameron diaz', ' matthew morrison', ' j. todd smith', ' dennis quaid']","['comedy', 'drama', 'romance']"
Moneyball,"title: Moneyball ,Description: Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.",Bennett Miller,2011,"['brad pitt', ' robin wright', ' jonah hill', ' philip seymour hoffman']","['biography', 'drama', 'sport']"
Ghost Rider,"title: Ghost Rider ,Description: Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself.",Mark Steven Johnson,2007,"['nicolas cage', ' eva mendes', ' sam elliott', ' matt long']","['action', 'fantasy', 'thriller']"
Unbroken,"title: Unbroken ,Description: After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie,2014,"['jack oconnell', ' miyavi', ' domhnall gleeson', ' garrett hedlund']","['biography', 'drama', 'sport']"
Immortals,"title: Immortals ,Description: Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",Tarsem Singh,2011,"['henry cavill', ' mickey rourke', ' john hurt', ' stephen dorff']","['action', 'drama', 'fantasy']"
Sunshine,"title: Sunshine ,Description: A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.",Danny Boyle,2007,"['cillian murphy', ' rose byrne', ' chris evans', ' michelle yeoh']","['adventure', 'sci-fi', 'thriller']"
Brave,"title: Brave ,Description: Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",Mark Andrews,2012,"['kelly macdonald', 'billy connolly', ' emma thompson', ' julie walters']","['animation', 'adventure', 'comedy']"
Män som hatar kvinnor,"title: Män som hatar kvinnor ,Description: A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.",Niels Arden Oplev,2009,"['michael nyqvist', ' noomi rapace', ' ewa fröling', 'lena endre']","['drama', 'mystery', 'thriller']"
Adoration,"title: Adoration ,Description: A pair of childhood friends and neighbors fall for each other's sons.",Anne Fontaine,2013,"['naomi watts', ' robin wright', ' xavier samuel', ' james frecheville']","['drama', 'romance']"
The Drop,"title: The Drop ,Description: Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.",Michaël R. Roskam,2014,"['tom hardy', ' noomi rapace', ' james gandolfini', 'matthias schoenaerts']","['crime', 'drama', 'mystery']"
She's the Man,"title: She's the Man ,Description: When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for one of his soccer teammates, and soon learns she's not the only one with romantic troubles.",Andy Fickman,2006,"['amanda bynes', ' laura ramsey', ' channing tatum', 'vinnie jones']","['comedy', 'romance', 'sport']"
Daddy's Home,"title: Daddy's Home ,Description: Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Sean Anders,2015,"['will ferrell', ' mark wahlberg', ' linda cardellini', ' thomas haden church']","['comedy', 'family']"
Let Me In,"title: Let Me In ,Description: A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.",Matt Reeves,2010,"['kodi smit-mcphee', ' chloë grace moretz', ' richard jenkins', ' cara buono']","['drama', 'horror', 'mystery']"
Never Back Down,"title: Never Back Down ,Description: A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.",Jeff Wadlow,2008,"['sean faris', ' djimon hounsou', ' amber heard', ' cam gigandet']","['action', 'drama', 'sport']"
Grimsby,"title: Grimsby ,Description: A new assignment forces a top spy to team up with his football hooligan brother.",Louis Leterrier,2016,"['sacha baron cohen', ' mark strong', ' rebel wilson', 'freddie crowder']","['action', 'adventure', 'comedy']"
Moon,"title: Moon ,Description: Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",Duncan Jones,2009,"['sam rockwell', ' kevin spacey', ' dominique mcelligott', 'rosie shaw']","['drama', 'mystery', 'sci-fi']"
Megamind,"title: Megamind ,Description: The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",Tom McGrath,2010,"['will ferrell', ' jonah hill', ' brad pitt', ' tina fey']","['animation', 'action', 'comedy']"
Gangster Squad,"title: Gangster Squad ,Description: It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",Ruben Fleischer,2013,"['sean penn', ' ryan gosling', ' emma stone', ' giovanni ribisi']","['action', 'crime', 'drama']"
Blood Father,"title: Blood Father ,Description: An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.",Jean-François Richet,2016,"['mel gibson', ' erin moriarty', ' diego luna', ' michael parks']","['action', 'crime', 'drama']"
He's Just Not That Into You,"title: He's Just Not That Into You ,Description: The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.",Ken Kwapis,2009,"['jennifer aniston', ' jennifer connelly', ' morgan lily', 'trenton rogers']","['comedy', 'drama', 'romance']"
Kung Fu Panda 3,"title: Kung Fu Panda 3 ,Description: Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",Alessandro Carloni,2016,"['jack black', ' bryan cranston', ' dustin hoffman', ' angelina jolie']","['animation', 'action', 'adventure']"
The Rise of the Krays,"title: The Rise of the Krays ,Description: Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.",Zackary Adler,2015,"['matt vael', ' simon cotton', ' kevin leslie', ' olivia moyles']","['crime', 'drama']"
Handsome Devil,"title: Handsome Devil ,Description: Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.",John Butler,2016,"['fionn oshea', ' nicholas galitzine', ' andrew scott', ' moe dunford']",['drama']
